Province	Wave	n	Population_size	n_per_100000
Amnat Charoen	1st wave	2	376195	0.531639176490916
Amnat Charoen	2nd wave	2	376195	0.531639176490916
Amnat Charoen	3rd wave	95	376195	25.2528608833185
Amnat Charoen	4th wave	3092	376195	821.914166854956
Amnat Charoen	5th wave	7660	376195	2036.17804596021
Ang Thong	1st wave	NA	NA	NA
Ang Thong	2nd wave	122	276584	44.1095652676944
Ang Thong	3rd wave	363	276584	131.244034362074
Ang Thong	4th wave	11351	276584	4103.99733896393
Ang Thong	5th wave	16142	276584	5836.20166025511
Bangkok	1st wave	1536	5588222	27.4863811781279
Bangkok	2nd wave	1400	5588222	25.0526911779811
Bangkok	3rd wave	103107	5588222	1845.07702092007
Bangkok	4th wave	364375	5588222	6520.41024855491
Bangkok	5th wave	504795	5588222	9033.19517370641
Bueng Kan	1st wave	NA	NA	NA
Bueng Kan	2nd wave	NA	NA	NA
Bueng Kan	3rd wave	66	422042	15.6382540126338
Bueng Kan	4th wave	2892	422042	685.2398576445
Bueng Kan	5th wave	10461	422042	2478.66326100246
Buri Ram	1st wave	13	1581184	0.822168703958553
Buri Ram	2nd wave	1	1581184	0.0632437464583502
Buri Ram	3rd wave	419	1581184	26.4991297660487
Buri Ram	4th wave	17503	1581184	1106.9552942605
Buri Ram	5th wave	50393	1581184	3187.04211527564
Chachoengsao	1st wave	17	720718	2.35875890431486
Chachoengsao	2nd wave	27	720718	3.74626414214714
Chachoengsao	3rd wave	5206	720718	722.335226815481
Chachoengsao	4th wave	33373	720718	4630.52123021764
Chachoengsao	5th wave	42000	720718	5827.52199889555
Chai Nat	1st wave	NA	NA	NA
Chai Nat	2nd wave	11	322477	3.41109598514003
Chai Nat	3rd wave	138	322477	42.7937496317567
Chai Nat	4th wave	2855	322477	885.334457961343
Chai Nat	5th wave	4234	322477	1312.9618546439
Chaiyaphum	1st wave	3	1124924	0.266684682698564
Chaiyaphum	2nd wave	8	1124924	0.711159153862839
Chaiyaphum	3rd wave	541	1124924	48.0921377799745
Chaiyaphum	4th wave	11873	1124924	1055.44907922669
Chaiyaphum	5th wave	20566	1124924	1828.21239479289
Chanthaburi	1st wave	3	535559	0.56016237239968
Chanthaburi	2nd wave	221	535559	41.2652947667764
Chanthaburi	3rd wave	1371	535559	255.994204186654
Chanthaburi	4th wave	21226	535559	3963.33550551853
Chanthaburi	5th wave	20897	535559	3901.90436534537
Chiang Mai	1st wave	40	1784370	2.2416875423819
Chiang Mai	2nd wave	21	1784370	1.1768859597505
Chiang Mai	3rd wave	8439	1784370	472.940029254022
Chiang Mai	4th wave	25835	1784370	1447.84994143591
Chiang Mai	5th wave	36127	1784370	2024.63614609078
Chiang Rai	1st wave	9	1295026	0.69496674198047
Chiang Rai	2nd wave	10	1295026	0.772185268867189
Chiang Rai	3rd wave	1055	1295026	81.4655458654884
Chiang Rai	4th wave	4972	1295026	383.930515680766
Chiang Rai	5th wave	5794	1295026	447.404144781649
Chon Buri	1st wave	111	1566885	7.08411912807896
Chon Buri	2nd wave	921	1566885	58.7790424951416
Chon Buri	3rd wave	9915	1566885	632.784154548675
Chon Buri	4th wave	106617	1566885	6804.39215385941
Chon Buri	5th wave	117217	1566885	7480.89362014443
Chumphon	1st wave	21	509208	4.12405146816232
Chumphon	2nd wave	NA	NA	NA
Chumphon	3rd wave	178	509208	34.9562457777568
Chumphon	4th wave	16523	509208	3244.84297183076
Chumphon	5th wave	14554	509208	2858.16405083974
Kalasin	1st wave	3	977175	0.30700744493054
Kalasin	2nd wave	NA	NA	NA
Kalasin	3rd wave	301	977175	30.8030803080308
Kalasin	4th wave	10479	977175	1072.37700514237
Kalasin	5th wave	24443	977175	2501.39432547906
Kamphaeng Phet	1st wave	NA	NA	NA
Kamphaeng Phet	2nd wave	2	714118	0.280065759440317
Kamphaeng Phet	3rd wave	417	714118	58.393710843306
Kamphaeng Phet	4th wave	8121	714118	1137.20701620741
Kamphaeng Phet	5th wave	17508	714118	2451.69565814053
Kanchanaburi	1st wave	9	891976	1.00899575773339
Kanchanaburi	2nd wave	7	891976	0.784774478237083
Kanchanaburi	3rd wave	679	891976	76.123124388997
Kanchanaburi	4th wave	24282	891976	2722.27055436469
Kanchanaburi	5th wave	27493	891976	3082.25781859602
Khon Kaen	1st wave	6	1794531	0.334349197645513
Khon Kaen	2nd wave	13	1794531	0.724423261565278
Khon Kaen	3rd wave	822	1794531	45.8058400774353
Khon Kaen	4th wave	27252	1794531	1518.61405570592
Khon Kaen	5th wave	57217	1794531	3188.40967361389
Krabi	1st wave	19	477770	3.97680892479645
Krabi	2nd wave	6	477770	1.25583439730414
Krabi	3rd wave	445	477770	93.1410511333905
Krabi	4th wave	11951	477770	2501.41281369697
Krabi	5th wave	12842	477770	2687.90422169663
Lampang	1st wave	4	728964	0.548723942471782
Lampang	2nd wave	3	728964	0.411542956853836
Lampang	3rd wave	298	728964	40.8799337141477
Lampang	4th wave	3463	728964	475.057753194945
Lampang	5th wave	10100	728964	1385.52795474125
Lamphun	1st wave	4	402011	0.994997649318053
Lamphun	2nd wave	2	402011	0.497498824659027
Lamphun	3rd wave	304	402011	75.6198213481721
Lamphun	4th wave	4451	402011	1107.18363427866
Lamphun	5th wave	1607	402011	399.740305613528
