Province	Region	Epiyear	Epiweek	n
NA	Unknown	2020	9	3
NA	Unknown	2020	10	1
NA	Unknown	2020	12	3
NA	Unknown	2020	29	1
NA	Unknown	2020	38	1
NA	Unknown	2020	39	2
NA	Unknown	2020	42	3
NA	Unknown	2020	45	6
NA	Unknown	2020	46	1
NA	Unknown	2020	53	1
NA	Unknown	2021	1	2
NA	Unknown	2021	3	106
NA	Unknown	2021	11	1
NA	Unknown	2021	15	101
NA	Unknown	2021	16	40
NA	Unknown	2021	43	66
NA	Unknown	2021	50	3684
NA	Unknown	2022	18	0
NA	Unknown	2022	19	0
NA	Unknown	2022	20	0
NA	Unknown	2022	21	0
NA	Unknown	2022	22	0
NA	Unknown	2022	23	0
NA	Unknown	2022	24	0
NA	Unknown	2022	25	0
NA	Unknown	2022	26	0
NA	Unknown	2022	27	0
NA	Unknown	2022	28	0
NA	Unknown	2022	29	0
NA	Unknown	2022	30	0
NA	Unknown	2022	31	0
NA	Unknown	2022	32	0
NA	Unknown	2022	33	0
NA	Unknown	2022	34	0
NA	Unknown	2022	35	0
NA	Unknown	2022	36	0
NA	Unknown	2022	37	0
NA	Unknown	2022	38	0
NA	Unknown	2022	39	0
NA	Unknown	2022	40	0
NA	Unknown	2022	41	0
Amnat Charoen	non-BMR	2020	13	1
Amnat Charoen	non-BMR	2020	14	1
Amnat Charoen	non-BMR	2020	53	1
Amnat Charoen	non-BMR	2021	1	1
Amnat Charoen	non-BMR	2021	14	2
Amnat Charoen	non-BMR	2021	15	10
Amnat Charoen	non-BMR	2021	16	11
Amnat Charoen	non-BMR	2021	17	11
Amnat Charoen	non-BMR	2021	18	7
Amnat Charoen	non-BMR	2021	19	6
Amnat Charoen	non-BMR	2021	20	1
Amnat Charoen	non-BMR	2021	21	2
Amnat Charoen	non-BMR	2021	22	1
Amnat Charoen	non-BMR	2021	24	2
Amnat Charoen	non-BMR	2021	25	6
Amnat Charoen	non-BMR	2021	26	15
Amnat Charoen	non-BMR	2021	27	110
Amnat Charoen	non-BMR	2021	28	96
Amnat Charoen	non-BMR	2021	29	196
Amnat Charoen	non-BMR	2021	30	390
Amnat Charoen	non-BMR	2021	31	478
Amnat Charoen	non-BMR	2021	32	544
Amnat Charoen	non-BMR	2021	33	316
Amnat Charoen	non-BMR	2021	34	275
Amnat Charoen	non-BMR	2021	35	81
Amnat Charoen	non-BMR	2021	36	60
Amnat Charoen	non-BMR	2021	37	60
Amnat Charoen	non-BMR	2021	38	56
Amnat Charoen	non-BMR	2021	39	52
Amnat Charoen	non-BMR	2021	40	28
Amnat Charoen	non-BMR	2021	41	50
Amnat Charoen	non-BMR	2021	42	24
Amnat Charoen	non-BMR	2021	43	22
Amnat Charoen	non-BMR	2021	44	23
Amnat Charoen	non-BMR	2021	45	49
Amnat Charoen	non-BMR	2021	46	43
Amnat Charoen	non-BMR	2021	47	21
Amnat Charoen	non-BMR	2021	48	22
Amnat Charoen	non-BMR	2021	49	16
Amnat Charoen	non-BMR	2021	50	12
Amnat Charoen	non-BMR	2021	51	7
Amnat Charoen	non-BMR	2021	52	48
Amnat Charoen	non-BMR	2022	1	106
Amnat Charoen	non-BMR	2022	2	126
Amnat Charoen	non-BMR	2022	3	116
Amnat Charoen	non-BMR	2022	4	84
Amnat Charoen	non-BMR	2022	5	113
Amnat Charoen	non-BMR	2022	6	238
Amnat Charoen	non-BMR	2022	7	378
Amnat Charoen	non-BMR	2022	8	373
Amnat Charoen	non-BMR	2022	9	293
Amnat Charoen	non-BMR	2022	10	304
Amnat Charoen	non-BMR	2022	11	464
Amnat Charoen	non-BMR	2022	12	547
Amnat Charoen	non-BMR	2022	13	540
Amnat Charoen	non-BMR	2022	14	589
Amnat Charoen	non-BMR	2022	15	631
Amnat Charoen	non-BMR	2022	16	669
Amnat Charoen	non-BMR	2022	17	527
Ang Thong	non-BMR	2020	52	1
Ang Thong	non-BMR	2020	53	3
Ang Thong	non-BMR	2021	1	48
Ang Thong	non-BMR	2021	2	43
Ang Thong	non-BMR	2021	3	15
Ang Thong	non-BMR	2021	4	2
Ang Thong	non-BMR	2021	7	3
Ang Thong	non-BMR	2021	8	7
Ang Thong	non-BMR	2021	10	2
Ang Thong	non-BMR	2021	15	13
Ang Thong	non-BMR	2021	16	18
Ang Thong	non-BMR	2021	17	51
Ang Thong	non-BMR	2021	18	45
Ang Thong	non-BMR	2021	19	42
Ang Thong	non-BMR	2021	20	6
Ang Thong	non-BMR	2021	21	2
Ang Thong	non-BMR	2021	22	21
Ang Thong	non-BMR	2021	23	13
Ang Thong	non-BMR	2021	24	4
Ang Thong	non-BMR	2021	25	33
Ang Thong	non-BMR	2021	26	60
Ang Thong	non-BMR	2021	27	312
Ang Thong	non-BMR	2021	28	348
Ang Thong	non-BMR	2021	29	657
Ang Thong	non-BMR	2021	30	1090
Ang Thong	non-BMR	2021	31	1571
Ang Thong	non-BMR	2021	32	1522
Ang Thong	non-BMR	2021	33	1356
Ang Thong	non-BMR	2021	34	946
Ang Thong	non-BMR	2021	35	706
Ang Thong	non-BMR	2021	36	430
Ang Thong	non-BMR	2021	37	409
Ang Thong	non-BMR	2021	38	452
Ang Thong	non-BMR	2021	39	314
Ang Thong	non-BMR	2021	40	205
Ang Thong	non-BMR	2021	41	184
Ang Thong	non-BMR	2021	42	120
Ang Thong	non-BMR	2021	43	119
Ang Thong	non-BMR	2021	44	79
Ang Thong	non-BMR	2021	45	112
Ang Thong	non-BMR	2021	46	48
Ang Thong	non-BMR	2021	47	48
Ang Thong	non-BMR	2021	48	36
Ang Thong	non-BMR	2021	49	85
Ang Thong	non-BMR	2021	50	102
Ang Thong	non-BMR	2021	51	100
Ang Thong	non-BMR	2021	52	37
Ang Thong	non-BMR	2022	1	48
Ang Thong	non-BMR	2022	2	96
Ang Thong	non-BMR	2022	3	100
Ang Thong	non-BMR	2022	4	114
Ang Thong	non-BMR	2022	5	113
Ang Thong	non-BMR	2022	6	280
Ang Thong	non-BMR	2022	7	338
Ang Thong	non-BMR	2022	8	776
Ang Thong	non-BMR	2022	9	1077
Ang Thong	non-BMR	2022	10	1147
Ang Thong	non-BMR	2022	11	1194
Ang Thong	non-BMR	2022	12	1511
Ang Thong	non-BMR	2022	13	2089
Ang Thong	non-BMR	2022	14	1335
Ang Thong	non-BMR	2022	15	1357
Ang Thong	non-BMR	2022	16	1172
Ang Thong	non-BMR	2022	17	911
Bueng Kan	non-BMR	2021	15	7
Bueng Kan	non-BMR	2021	16	5
Bueng Kan	non-BMR	2021	17	3
Bueng Kan	non-BMR	2021	18	7
Bueng Kan	non-BMR	2021	19	2
Bueng Kan	non-BMR	2021	20	3
Bueng Kan	non-BMR	2021	21	2
Bueng Kan	non-BMR	2021	22	6
Bueng Kan	non-BMR	2021	23	3
