Accession.ID	Virus.name	Passage.details.history	Collection.date	Pango.lineage	Continent	Country	Province	Region	Region.2
EPI_ISL_10014655	hCoV-19/England/PHEC-YYNCUYU/2022	Original	2022-01-08	BA.1	Europe	United Kingdom	NA	Europe	Non-Thailand
EPI_ISL_1001676	hCoV-19/Switzerland/SO-ETHZ-461084/2021	Original	2021-01-18	B.1.160.12	Europe	Switzerland	NA	Europe	Non-Thailand
EPI_ISL_10016835	hCoV-19/Turkey/HSGM-G949/2022	Orginal	2022-02-08	BA.1	Europe	Turkey	NA	Europe	Non-Thailand
EPI_ISL_10018411	hCoV-19/Germany/SN-RKI-I-526152/2022	Original	2022-01-31	BA.1.1	Europe	Germany	NA	Europe	Non-Thailand
EPI_ISL_10020543	hCoV-19/Germany/BY-RKI-I-527502/2022	Original	2022-01-18	BA.1.17.2	Europe	Germany	NA	Europe	Non-Thailand
EPI_ISL_10020557	hCoV-19/Germany/BY-RKI-I-527517/2022	Original	2022-01-18	BA.1.17.2	Europe	Germany	NA	Europe	Non-Thailand
EPI_ISL_10021212	hCoV-19/France/IDF-CERBAHC-01832216/2022	Original	2022-01-24	BA.1.1	Europe	France	NA	Europe	Non-Thailand
EPI_ISL_10025453	hCoV-19/Germany/ST-RKI-I-534492/2022	Original	2022-01-20	BA.2	Europe	Germany	NA	Europe	Non-Thailand
EPI_ISL_10031459	hCoV-19/Germany/SL-RKI-I-542202/2022	Original	2022-02-03	BA.1.16	Europe	Germany	NA	Europe	Non-Thailand
EPI_ISL_10046216	hCoV-19/South Korea/KDCA29163/2022	Original	2022-01-15	BA.1.1	Asia	South Korea	NA	Asia	Non-Thailand
EPI_ISL_10059947	hCoV-19/England/LSPA-366966E/2022	Original	2022-02-09	BA.1	Europe	United Kingdom	NA	Europe	Non-Thailand
EPI_ISL_10062802	hCoV-19/Thailand/TUC-L22-26218/2022	Original	2022-02-03	BA.2.9	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062803	hCoV-19/Thailand/TUC-L22-26239/2022	Original	2022-02-07	B.1.1.529	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062804	hCoV-19/Thailand/TUC-L22-26172/2022	Original	2022-02-01	BA.1	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062805	hCoV-19/Thailand/TUC-L22-26174/2022	Original	2022-02-01	BA.1	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062806	hCoV-19/Thailand/TUC-L22-26182/2022	Original	2022-02-01	BA.1	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062807	hCoV-19/Thailand/TUC-L22-26223/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062808	hCoV-19/Thailand/TUC-L22-26237/2022	Original	2022-02-05	BA.1.17	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062831	hCoV-19/Thailand/TUC-L22-26202/2022	Original	2022-02-02	BA.1.1	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062832	hCoV-19/Thailand/TUC-L22-26169/2022	Original	2022-02-01	BA.1	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062833	hCoV-19/Thailand/TUC-L22-26181/2022	Original	2022-02-01	BA.1	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062834	hCoV-19/Thailand/TUC-L22-26159/2022	Original	2022-02-01	BA.1.1	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062835	hCoV-19/Thailand/TUC-L22-26161/2022	Original	2022-02-01	BA.1.1	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062836	hCoV-19/Thailand/TUC-L22-26175/2022	Original	2022-02-01	BA.1	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062837	hCoV-19/Thailand/TUC-L22-26176/2022	Original	2022-02-01	BA.1	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062838	hCoV-19/Thailand/TUC-L22-26180/2022	Original	2022-02-01	BA.1	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062839	hCoV-19/Thailand/TUC-L22-26179/2022	Original	2022-02-01	BA.1	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062840	hCoV-19/Thailand/TUC-L22-26163/2022	Original	2022-02-01	BA.2.9.5	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062841	hCoV-19/Thailand/TUC-L22-26155/2022	Original	2022-02-01	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062842	hCoV-19/Thailand/TUC-L22-26178/2022	Original	2022-02-01	BA.1	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062843	hCoV-19/Thailand/TUC-L22-26211/2022	Original	2022-02-03	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062844	hCoV-19/Thailand/TUC-L22-26177/2022	Original	2022-02-01	BA.1	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062845	hCoV-19/Thailand/TUC-L22-26214/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062846	hCoV-19/Thailand/TUC-L22-26207/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062847	hCoV-19/Thailand/TUC-L22-26160/2022	Original	2022-02-01	BA.1.1	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062848	hCoV-19/Thailand/TUC-L22-26171/2022	Original	2022-02-01	BA.1	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062849	hCoV-19/Thailand/TUC-L22-26205/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062850	hCoV-19/Thailand/TUC-L22-26222/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062851	hCoV-19/Thailand/TUC-L22-26200/2022	Original	2022-02-02	BA.2.9.5	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062852	hCoV-19/Thailand/TUC-L22-26217/2022	Original	2022-02-03	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062853	hCoV-19/Thailand/TUC-L22-26209/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062854	hCoV-19/Thailand/TUC-L22-26170/2022	Original	2022-02-01	BA.1	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062855	hCoV-19/Thailand/TUC-L22-26173/2022	Original	2022-02-01	BA.1	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062856	hCoV-19/Thailand/TUC-L22-26221/2022	Original	2022-02-03	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062857	hCoV-19/Thailand/TUC-L22-26168/2022	Original	2022-02-01	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062858	hCoV-19/Thailand/TUC-L22-26219/2022	Original	2022-02-03	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062859	hCoV-19/Thailand/TUC-L22-26224/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062860	hCoV-19/Thailand/TUC-L22-26215/2022	Original	2022-02-03	BA.1.1	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062861	hCoV-19/Thailand/TUC-L22-26225/2022	Original	2022-02-03	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062862	hCoV-19/Thailand/TUC-L22-26238/2022	Original	2022-02-07	BA.2.9	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062863	hCoV-19/Thailand/TUC-L22-26226/2022	Original	2022-02-03	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062864	hCoV-19/Thailand/TUC-L22-26190/2022	Original	2022-02-02	BA.2.9	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062865	hCoV-19/Thailand/TUC-L22-26227/2022	Original	2022-02-03	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062866	hCoV-19/Thailand/TUC-L22-26230/2022	Original	2022-02-03	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062867	hCoV-19/Thailand/TUC-L22-26157/2022	Original	2022-02-01	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062868	hCoV-19/Thailand/TUC-L22-26191/2022	Original	2022-02-02	BA.2.9	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062869	hCoV-19/Thailand/TUC-L22-26151/2022	Original	2022-02-01	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062870	hCoV-19/Thailand/TUC-L22-26195/2022	Original	2022-02-02	BA.2.9	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062871	hCoV-19/Thailand/TUC-L22-26204/2022	Original	2022-02-03	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062872	hCoV-19/Thailand/TUC-L22-26235/2022	Original	2022-02-03	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062873	hCoV-19/Thailand/TUC-L22-26231/2022	Original	2022-02-03	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062874	hCoV-19/Thailand/TUC-L22-26234/2022	Original	2022-02-03	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062875	hCoV-19/Thailand/TUC-L22-26188/2022	Original	2022-02-02	BA.2.9	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062876	hCoV-19/Thailand/TUC-L22-26198/2022	Original	2022-02-02	BA.2.9.5	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062877	hCoV-19/Thailand/TUC-L22-26228/2022	Original	2022-02-03	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062878	hCoV-19/Thailand/TUC-L22-26185/2022	Original	2022-02-02	BA.2.9.5	Asia	Thailand	Tak	non-BMR	Thailand
EPI_ISL_10062879	hCoV-19/Thailand/TUC-L22-26148/2022	Original	2022-02-01	BA.2	Asia	Thailand	Tak	non-BMR	Thailand
